Company,QLD,WA,VIC,NSW
Competitor 1,4.57%,4.18%,7.90%,8.54%
Competitor 2,2.60%,1.88%,8.99%,9.23%
Competitor 3,2.26%,7.48%,6.71%,7.84%
Competitor 4,6.47%,6.70%,7.94%,9.89%
Competitor 5,6.82%,1.17%,8.54%,5.67%
Competitor 6,4.68%,6.44%,6.52%,3.03%
Competitor 7,7.43%,3.52%,7.12%,8.47%
Competitor 8,4.49%,2.42%,7.79%,9.40%
Competitor 9,5.72%,6.39%,8.99%,8.67%
Competitor 10,5.64%,7.79%,7.57%,8.50%
Competitor 11,6.27%,5.94%,9.21%,6.40%
Competitor 12,4.88%,9.07%,7.10%,8.80%
Competitor 13,5.15%,2.44%,9.05%,5.76%
Competitor 14,8.52%,2.42%,9.50%,11.49%
Competitor 15,11.96%,6.17%,4.54%,10.49%
Competitor 16,5.26%,0.29%,7.60%,6.02%
Competitor 17,8.13%,8.50%,8.95%,4.64%
Competitor 18,5.93%,5.57%,9.79%,8.14%
Competitor 19,6.05%,1.14%,4.92%,8.71%
Competitor 20,6.67%,3.67%,8.35%,12.31%
Competitor 21,5.34%,5.82%,6.99%,8.85%
Competitor 22,6.41%,4.60%,9.87%,1.37%
Competitor 23,5.44%,3.09%,3.40%,6.38%
Competitor 24,6.11%,3.68%,8.00%,7.18%
Competitor 25,6.35%,2.43%,7.36%,7.34%
Competitor 26,5.95%,5.10%,9.40%,7.81%
Competitor 27,10.70%,9.85%,8.75%,4.09%
Competitor 28,5.23%,1.57%,5.68%,10.90%
Competitor 29,9.02%,3.47%,8.12%,5.86%
Competitor 30,9.67%,3.86%,6.22%,10.05%
